column,depth_r2,series_eta2,detection,mean_expr,arm,gene
2262,0.792362366723623,0.8732746235590778,0.9789547527183444,8.712461881507673,centrality_only,ASCC2
19488,0.43587168684530564,0.877698423077678,0.8253244475622589,4.335050023383987,centrality_only,ASIC3
27493,0.5363798112813937,0.8640625189316198,0.8806266806968315,5.010635505527638,centrality_only,ASMTL-AS1
7582,0.7322174064749212,0.8062884655577217,0.9750964573833742,8.96544415364276,centrality_only,ASNSD1
12489,0.7412164820790266,0.8586637917941061,0.9781363264351689,7.735127454777984,centrality_only,ASPSCR1
23952,0.04306874846808029,0.8143989225607482,0.30574067578627384,0.8742895630748735,centrality_only,ASTN2-AS1
12871,0.7064319226691274,0.8774685527516065,0.9842160645387583,9.88642786770944,centrality_only,ASXL1
8420,0.7401455936677772,0.8659326089371289,0.9821115398105927,9.23015874167792,centrality_only,ASXL2
3421,0.7317832333182597,0.8127985993522332,0.9845668186601193,9.251516786176921,centrality_only,ATE1
30852,0.047023412171134336,0.8457060507373597,0.2221442768619198,0.6017919603348001,centrality_only,ATG10-AS1
8667,0.6517608782950367,0.7934639643830459,0.9837483923769438,9.471723452821944,centrality_only,ATG12
13620,0.8017926820161652,0.8358023751555826,0.9858529171051094,9.741656856621606,centrality_only,ATG13
1673,0.8164142248615934,0.879061712701291,0.965041505904361,7.147494599454851,centrality_only,ATG16L1
982,0.7755433204665086,0.8628889811956529,0.9811761954869637,9.0437598045313,centrality_only,ATG2B
12199,0.7459305953803816,0.8655775279262551,0.9796562609610663,8.970204074522439,centrality_only,ATG4B
773,0.7873238775016586,0.8172610992127399,0.9773179001519935,8.474175251284274,centrality_only,ATG5
15391,0.6331248098461721,0.8563287050298158,0.9885420320355431,9.59759144332553,centrality_only,ATL3
9104,0.7084222094222193,0.8465700082094014,0.9920495732491523,10.142349350679607,centrality_only,ATM
11724,0.7763125454696588,0.8329225747817889,0.9828130480533146,9.406350606828353,centrality_only,ATMIN
778,0.7821177816714122,0.8770952295518571,0.9805916052846955,9.406079452121158,centrality_only,ATP11B
1315,0.01278701899643815,0.5824119636787084,0.27043142756927396,0.7827125173360441,centrality_only,ATP12A
11825,0.3265987921152615,0.8146812602360041,0.9504267508476558,5.066385735130778,centrality_only,ATP23
371,0.7966254508445448,0.8681986751073826,0.983982228457851,10.137960170913436,centrality_only,ATP2C1
24637,0.045738542250786135,0.8562142815116298,0.2551151642698468,0.6932713834218891,centrality_only,ATP5MC2P3
25187,0.043640059549953376,0.8429526163522373,0.13574184496667835,0.35753026929052756,centrality_only,ATP5MKP1
21579,0.04671937853355508,0.8232702045251238,0.29743949491406524,0.8101496527128912,centrality_only,ATP5PBP1
22057,0.06918522716354204,0.8164842985855775,0.30994972524260495,0.8036535884516428,centrality_only,ATP6V0E1P1
24291,0.12680239308884714,0.8003583087946139,0.5571144627616041,1.742933174566708,centrality_only,ATP8A2P2
13580,0.7083296788358807,0.8404803778530329,0.9795393429206126,8.783097662591773,centrality_only,ATR
21589,0.7790347277895874,0.8715101024078813,0.9808254413656027,9.01598404212875,centrality_only,ATXN1L
10957,0.7511838107749859,0.8464750456255257,0.9842160645387583,8.782518903372596,centrality_only,ATXN7
4385,0.8051223990885288,0.8544213681817274,0.9825792119724074,9.384240976567995,centrality_only,AUP1
3178,0.7711377719875049,0.8609974010200826,0.9855021629837484,9.034857837537514,centrality_only,AVL9
24356,0.060268516084384695,0.7762872183042564,0.45855255465918393,1.2715427275778857,centrality_only,B3GALNT1P1
15179,0.13397307578903916,0.8429354446907378,0.8684672044896528,3.9549899392694976,centrality_only,B3GALT5
15400,0.13341960464155106,0.816388148117572,0.8934876651467322,3.67574067747441,centrality_only,B3GALT5-AS1
11869,0.38044087390020964,0.8368878315382939,0.9277446509996492,4.875156871341173,centrality_only,B4GALNT2
7283,0.24684175401515362,0.8626655852335667,0.8698702209750965,3.8289586664653865,centrality_only,BAAT
3085,0.8258135410091031,0.8432117942782603,0.9840991464983047,9.208274266475351,centrality_only,BABAM1
11644,0.751945110336084,0.8071418522316233,0.9823453758915001,9.111570848424044,centrality_only,BAG5
15935,0.023685874917675816,0.7623225087877202,0.38594645153747226,1.0488748573830402,centrality_only,BAGE2
20181,0.20743231615888402,0.7898151638913791,0.969952063603414,4.802358184434455,centrality_only,BASP1-AS1
242,0.7384644352038444,0.8630627355562374,0.9837483923769438,10.274800242296676,centrality_only,BAZ1B
