gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance,variance_rank,in_degree,centrality_rank,kegg_pathway
ARRDC1,False,True,False,1,,,318,3499,
ARRDC1-AS1,False,True,False,1,,,286,4240,
ARRDC2,True,True,False,2,10.256102856507091,2516,308,3691,
ARRDC3-AS1,False,True,False,1,,,552,1171,
ARSI,True,False,False,1,8.590614741540946,4424,,,
ARSJ,True,False,False,1,10.92235825997941,2044,,,
ART3,True,True,False,2,10.497644718777508,2343,266,4778,
ART4,True,False,False,1,9.199316925671187,3588,,,
ARVCF,True,False,False,1,12.348813628423208,1269,,,
AS3MT,True,False,False,1,9.629371312021448,3109,,,
ASAP2,True,False,False,1,9.492527924746623,3260,,,
ASAP3,True,True,False,2,11.272130881748682,1830,361,2773,
ASB1,True,False,False,1,8.778166126243105,4156,,,
ASB10,True,False,False,1,8.781112259727616,4149,,,
ASB11,True,False,False,1,15.011424396014249,593,,,
ASB15,True,False,False,1,12.16153300114283,1342,,,
ASB18,False,True,False,1,,,311,3645,
ASB2,True,True,False,2,21.324611789936277,140,276,4519,
ASB4,False,True,False,1,,,344,3041,
ASB6,False,True,False,1,,,272,4606,
ASB7,False,True,False,1,,,335,3183,
ASCC2,False,True,False,1,,,274,4548,
ASF1B,True,False,False,1,8.944402064980956,3939,,,
ASIC1,True,False,False,1,8.291519303156026,4915,,,
ASIC3,False,True,False,1,,,383,2506,
ASMTL-AS1,False,True,False,1,,,285,4268,
ASNSD1,False,True,False,1,,,392,2395,
ASPG,True,False,False,1,14.412871940958723,707,,,
ASPHD1,True,False,False,1,8.482251692878883,4604,,,
ASPM,True,False,False,1,11.72444287300264,1548,,,
ASPN,True,False,False,1,16.375158106756572,386,,,
ASPSCR1,False,True,False,1,,,318,3496,
ASS1,True,False,False,1,11.418112388848913,1728,,,
ASTN1,True,False,False,1,11.616392726008185,1607,,,
ASTN2-AS1,False,True,False,1,,,1222,170,
ASXL1,False,True,False,1,,,339,3120,
ASXL2,False,True,False,1,,,330,3269,
ASXL3,True,False,False,1,9.940700124996969,2791,,,
ATAD1,True,False,False,1,8.306246982751796,4893,,,
ATAD3A,True,True,False,2,11.557897171559786,1642,429,2014,
ATE1,False,True,False,1,,,273,4573,
ATF3,True,False,False,1,8.490695997675743,4588,,,
ATF6B,True,False,False,1,12.088503245425118,1380,,,
ATG10-AS1,False,True,False,1,,,1439,101,
ATG101,True,False,False,1,10.612345063373738,2247,,,
ATG12,False,True,False,1,,,319,3480,
ATG13,False,True,False,1,,,273,4583,
ATG16L1,False,True,False,1,,,792,509,
ATG16L2,True,False,False,1,8.603507381377938,4403,,,
ATG2A,True,True,False,2,10.58821150914149,2272,518,1323,
ATG2B,False,True,False,1,,,607,923,
ATG4B,False,True,False,1,,,459,1732,
ATG5,False,True,False,1,,,578,1033,
ATG9A,True,False,False,1,15.462617792620104,524,,,
ATL3,False,True,False,1,,,359,2813,
ATM,False,True,False,1,,,310,3658,
ATMIN,False,True,False,1,,,286,4235,
ATN1,True,False,False,1,14.274152326179545,733,,,
ATOH8,True,False,False,1,9.609106758710093,3130,,,
