gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance,variance_rank,in_degree,centrality_rank,kegg_pathway
ANO2,True,False,False,1,9.021550057929703,3828.0,,,
ANO4,True,False,False,1,9.990434247805116,2746.0,,,
ANO5,True,True,False,2,14.995785701346469,596.0,303.0,3810.0,
ANO8,True,True,False,2,9.17117741967746,3621.0,273.0,4570.0,
ANOS1,True,False,False,1,11.903736175192874,1463.0,,,
ANPEP,True,False,False,1,21.547947243985465,133.0,,,
ANTXR1,True,False,False,1,10.578103875503476,2277.0,,,
ANXA1,True,False,False,1,13.336825195344618,956.0,,,
ANXA10,True,False,False,1,8.419793259943317,4699.0,,,
ANXA2,True,False,False,1,9.33990805362742,3409.0,,,
ANXA3,True,False,False,1,9.119418670017142,3696.0,,,
ANXA6,True,False,False,1,8.43559302226917,4673.0,,,
AOAH,True,True,False,2,11.604214559082749,1614.0,860.0,434.0,
AOC3,True,False,False,1,12.438208118810682,1228.0,,,
AOX1,True,False,False,1,13.993201157460929,804.0,,,
AP1B1,True,False,False,1,9.039909070572604,3799.0,,,
AP1G1,False,True,False,1,,,719.0,628.0,
AP1G2,True,False,False,1,8.582204834539345,4439.0,,,
AP1S1,True,False,False,1,11.132503485121308,1911.0,,,
AP2A1,True,True,False,2,11.268378152135751,1834.0,566.0,1092.0,
AP2A2,True,False,False,1,9.536025909738102,3204.0,,,
AP3B1,False,True,False,1,,,384.0,2491.0,
AP3B2,False,True,False,1,,,572.0,1059.0,
AP3D1,False,True,False,1,,,312.0,3614.0,
AP3M1,False,True,False,1,,,320.0,3470.0,
AP4S1,False,True,False,1,,,291.0,4106.0,
APBA1,True,False,False,1,10.609561182575009,2253.0,,,
APBA2,True,False,False,1,9.238637873008452,3536.0,,,
APBB1,True,False,False,1,9.558545931914264,3186.0,,,
APBB1IP,True,False,False,1,12.24179784745238,1311.0,,,
APBB2,True,False,False,1,8.306343675819155,4890.0,,,
APCDD1,True,False,False,1,15.681522456809205,490.0,,,
APCDD1L,True,False,False,1,12.010446714097348,1410.0,,,
APH1A,True,True,False,2,10.676012719102562,2199.0,277.0,4469.0,
API5,False,True,False,1,,,382.0,2518.0,
APLN,True,False,False,1,15.680620867397444,492.0,,,
APLNR,True,False,False,1,16.632160199316733,363.0,,,
APLP1,True,False,False,1,10.285313568699898,2488.0,,,
APOA1,True,False,False,1,17.42230191113638,303.0,,,
APOA2,True,False,False,1,10.589941255729933,2270.0,,,
APOA5,False,True,False,1,,,348.0,2983.0,
APOB,True,False,False,1,17.1894793105122,316.0,,,
APOBEC2,True,True,False,2,22.475196137192317,118.0,331.0,3250.0,
APOBR,True,True,False,2,9.2887063718228,3471.0,556.0,1146.0,
APOC1,True,False,False,1,9.45481258896435,3296.0,,,
APOC4,False,True,False,1,,,299.0,3929.0,
APOD,True,False,False,1,16.14521769821336,425.0,,,
APOE,True,False,False,1,16.524780319972646,376.0,,,
APOF,False,True,False,1,,,391.0,2408.0,
APOH,False,True,False,1,,,310.0,3653.0,
APOL1,True,False,False,1,10.493272392601584,2344.0,,,
APOL3,True,False,False,1,14.738033358487488,644.0,,,
APOL6,False,True,False,1,,,281.0,4362.0,
APP,True,False,False,1,10.466572159060588,2364.0,,,
APPBP2,False,True,False,1,,,279.0,4401.0,
APTX,False,True,False,1,,,289.0,4151.0,
AQP1,True,False,False,1,19.76215549866316,195.0,,,
AQP3,True,False,False,1,8.374517504862542,4770.0,,,
AQP4,True,False,False,1,9.221922810221512,3554.0,,,
AQP7,True,True,False,2,13.273263425583048,976.0,267.0,4740.0,
AQP7B,True,False,False,1,8.32459319578819,4863.0,,,
AQP9,True,True,False,2,13.00615894115123,1059.0,331.0,3246.0,
AQR,False,True,False,1,,,638.0,827.0,
AR,True,False,False,1,8.447866125092768,4662.0,,,
ARAP1,True,False,False,1,13.426612059824986,932.0,,,
ARAP2,True,False,False,1,10.892538651096505,2065.0,,,
ARAP3,True,False,False,1,10.731354820976613,2164.0,,,
ARCN1,False,True,False,1,,,291.0,4105.0,
AREG,True,False,False,1,8.859497079123084,4054.0,,,
AREL1,False,True,False,1,,,492.0,1494.0,
ARF5,True,False,False,1,10.383480927759228,2417.0,,,
ARFGAP1,True,True,False,2,10.962464308483838,2018.0,741.0,586.0,
ARFGAP2,False,True,False,1,,,424.0,2064.0,
ARFGAP3,False,True,False,1,,,338.0,3146.0,
ARFGEF1,False,True,False,1,,,727.0,606.0,
ARFGEF2,False,True,False,1,,,463.0,1694.0,
ARFGEF3,True,False,False,1,8.534744760692966,4522.0,,,
ARFIP2,False,True,False,1,,,312.0,3617.0,
ARGFX,False,True,False,1,,,1406.0,108.0,
ARHGAP11A,True,False,False,1,10.968873179917695,2012.0,,,
ARHGAP15,True,True,False,2,10.905484002320774,2053.0,486.0,1537.0,
ARHGAP22,True,True,False,2,8.4535654009439,4655.0,345.0,3032.0,
ARHGAP23,True,False,False,1,14.98353759741896,599.0,,,
ARHGAP25,True,False,False,1,10.036262777452077,2702.0,,,
ARHGAP27,True,False,False,1,9.18562620103085,3603.0,,,
ARHGAP30,True,True,False,2,10.5627342742037,2291.0,341.0,3091.0,
ARHGAP31,True,False,False,1,9.318171852606312,3436.0,,,
ARHGAP33,True,True,False,2,10.42438773217076,2390.0,447.0,1837.0,
ARHGAP35,False,True,False,1,,,338.0,3141.0,
ARHGAP39,True,False,False,1,8.286673462792077,4918.0,,,
ARHGAP4,True,False,False,1,11.340142226014926,1772.0,,,
ARHGAP42,True,False,False,1,9.21255091212037,3570.0,,,
ARHGAP44,False,True,False,1,,,405.0,2246.0,
ARHGAP45,True,False,False,1,10.335030018083057,2454.0,,,
ARHGAP8,False,True,False,1,,,374.0,2611.0,
ARHGAP9,True,False,False,1,9.952990217940355,2783.0,,,
ARHGDIA,True,True,False,2,13.33446513012309,957.0,278.0,4446.0,
ARHGDIB,True,False,False,1,12.740587172122837,1125.0,,,
ARHGEF1,True,True,False,2,10.431544929610196,2384.0,337.0,3151.0,
ARHGEF10L,True,False,False,1,12.386329586322349,1247.0,,,
ARHGEF11,True,False,False,1,9.601767220333462,3138.0,,,
ARHGEF15,True,False,False,1,15.110511324098454,578.0,,,
ARHGEF17,True,False,False,1,10.413439441237434,2399.0,,,
ARHGEF18,True,True,False,2,8.973309497156077,3902.0,405.0,2247.0,
ARHGEF25,True,False,False,1,13.470608532097046,922.0,,,
ARHGEF28,True,True,False,2,11.006863234474933,1984.0,350.0,2955.0,
ARHGEF37,True,False,False,1,8.998196223073982,3859.0,,,
ARHGEF5,True,False,False,1,10.19832579409477,2564.0,,,
ARHGEF6,True,False,False,1,8.366306149570852,4786.0,,,
ARHGEF9,False,True,False,1,,,509.0,1394.0,
ARID5A,True,False,False,1,9.806235952465734,2920.0,,,
ARIH1,False,True,False,1,,,528.0,1262.0,
ARL8A,True,False,False,1,8.543369060389848,4504.0,,,
ARMC1,False,True,False,1,,,272.0,4601.0,
ARMC10,True,False,False,1,9.27256631665736,3495.0,,,
ARMC6,True,True,False,2,8.643972953477997,4344.0,443.0,1873.0,
ARMCX1,True,False,False,1,8.338215817053069,4844.0,,,
ARMCX2,True,False,False,1,10.47405031314649,2357.0,,,
ARMCX6,True,False,False,1,9.30652144141927,3446.0,,,
ARNT2,True,False,False,1,10.929079846651923,2036.0,,,
ARPIN-AP3S2,True,False,False,1,9.68831726323195,3046.0,,,
ARRB1,True,False,False,1,8.878764931528044,4026.0,,,
ARRB2,True,False,False,1,8.484585727843905,4594.0,,,
ARRDC1,False,True,False,1,,,318.0,3499.0,
ARRDC2,True,True,False,2,10.256102856507091,2516.0,308.0,3691.0,
ARSI,True,False,False,1,8.590614741540946,4424.0,,,
ARSJ,True,False,False,1,10.92235825997941,2044.0,,,
ART3,True,True,False,2,10.497644718777508,2343.0,266.0,4778.0,
ART4,True,False,False,1,9.199316925671187,3588.0,,,
ARVCF,True,False,False,1,12.348813628423208,1269.0,,,
AS3MT,True,False,False,1,9.629371312021448,3109.0,,,
ASAP2,True,False,False,1,9.492527924746623,3260.0,,,
ASAP3,True,True,False,2,11.272130881748682,1830.0,361.0,2773.0,
ASB1,True,False,False,1,8.778166126243105,4156.0,,,
ASB10,True,False,False,1,8.781112259727616,4149.0,,,
ASB11,True,False,False,1,15.011424396014249,593.0,,,
ASB15,True,False,False,1,12.16153300114283,1342.0,,,
ASB18,False,True,False,1,,,311.0,3645.0,
ASB2,True,True,False,2,21.324611789936277,140.0,276.0,4519.0,
ASB4,False,True,False,1,,,344.0,3041.0,
ASB6,False,True,False,1,,,272.0,4606.0,
ASB7,False,True,False,1,,,335.0,3183.0,
ASCC2,False,True,False,1,,,274.0,4548.0,
ASF1B,True,False,False,1,8.944402064980956,3939.0,,,
ASIC1,True,False,False,1,8.291519303156026,4915.0,,,
ASIC3,False,True,False,1,,,383.0,2506.0,
ASNSD1,False,True,False,1,,,392.0,2395.0,
ASPG,True,False,False,1,14.412871940958723,707.0,,,
ASPHD1,True,False,False,1,8.482251692878883,4604.0,,,
ASPM,True,False,False,1,11.72444287300264,1548.0,,,
ASPN,True,False,False,1,16.375158106756572,386.0,,,
ASPSCR1,False,True,False,1,,,318.0,3496.0,
ASS1,True,False,False,1,11.418112388848913,1728.0,,,
ASTN1,True,False,False,1,11.616392726008185,1607.0,,,
ASXL1,False,True,False,1,,,339.0,3120.0,
ASXL2,False,True,False,1,,,330.0,3269.0,
ASXL3,True,False,False,1,9.940700124996969,2791.0,,,
ATAD1,True,False,False,1,8.306246982751796,4893.0,,,
ATAD3A,True,True,False,2,11.557897171559786,1642.0,429.0,2014.0,
ATE1,False,True,False,1,,,273.0,4573.0,
ATF3,True,False,False,1,8.490695997675743,4588.0,,,
ATF6B,True,False,False,1,12.088503245425118,1380.0,,,
ATG101,True,False,False,1,10.612345063373738,2247.0,,,
ATG12,False,True,False,1,,,319.0,3480.0,
ATG13,False,True,False,1,,,273.0,4583.0,
ATG16L1,False,True,False,1,,,792.0,509.0,
ATG16L2,True,False,False,1,8.603507381377938,4403.0,,,
ATG2A,True,True,False,2,10.58821150914149,2272.0,518.0,1323.0,
ATG2B,False,True,False,1,,,607.0,923.0,
ATG4B,False,True,False,1,,,459.0,1732.0,
ATG5,False,True,False,1,,,578.0,1033.0,
ATG9A,True,False,False,1,15.462617792620104,524.0,,,
ATL3,False,True,False,1,,,359.0,2813.0,
ATM,False,True,False,1,,,310.0,3658.0,
ATMIN,False,True,False,1,,,286.0,4235.0,
ATN1,True,False,False,1,14.274152326179545,733.0,,,
ATOH8,True,False,False,1,9.609106758710093,3130.0,,,
ATP10A,True,False,False,1,9.556430096125975,3187.0,,,
ATP11A,True,False,False,1,8.805651533798272,4110.0,,,
ATP11B,False,True,False,1,,,467.0,1663.0,
ATP12A,False,True,False,1,,,297.0,3952.0,
