gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance_rank,centrality_rank,ensg_ids,biotype
FGF13-AS1,False,True,False,1,,4426.0,ENSG00000226031,LNCRNA
FGF14-AS1,False,True,False,1,,532.0,ENSG00000234445,LNCRNA
FGF14-IT1,False,True,False,1,,346.0,ENSG00000243319,LNCRNA
FKBP1AP2,False,True,False,1,,4460.0,ENSG00000259691,PROCESSED_PSEUDOGENE
FOXN3-AS2,False,True,False,1,,748.0,ENSG00000259073,LNCRNA
FRG1-DT,False,True,False,1,,1.0,"ENSG00000245685,ENSG00000280716,ENSG00000281543,ENSG00000281787,ENSG00000283244,ENSG00000283668",LNCRNA
FTH1P24,False,True,False,1,,1798.0,ENSG00000249302,PROCESSED_PSEUDOGENE
FTLP2,False,True,False,1,,2184.0,ENSG00000232368,PROCESSED_PSEUDOGENE
FTX,False,True,False,1,,1690.0,ENSG00000230590,LNCRNA
GABRG3-AS1,False,True,False,1,,381.0,ENSG00000228740,LNCRNA
GALNT7-DT,False,True,False,1,,859.0,ENSG00000245213,LNCRNA
GAPDHP39,False,True,False,1,,3943.0,ENSG00000239207,PROCESSED_PSEUDOGENE
GAPDHP42,False,True,False,1,,4615.0,ENSG00000219881,PROCESSED_PSEUDOGENE
GAPDHP72,False,True,False,1,,4313.0,ENSG00000216624,TRANSCRIBED_PROCESSED_PSEUDOGENE
GARS1-DT,False,True,False,1,,1031.0,ENSG00000196295,LNCRNA
GATA6-AS1,True,False,False,1,1519.0,,ENSG00000266010,LNCRNA
GCSHP5,True,False,False,1,2116.0,,ENSG00000224837,PROCESSED_PSEUDOGENE
GHRLOS,False,True,False,1,,4430.0,ENSG00000240288,LNCRNA
GJA6P,False,True,False,1,,1487.0,ENSG00000236187,PROCESSED_PSEUDOGENE
GJD2-DT,True,False,False,1,1082.0,,ENSG00000250007,LNCRNA
GLULP5,False,True,False,1,,3975.0,ENSG00000257915,PROCESSED_PSEUDOGENE
GMDS-DT,False,True,False,1,,256.0,ENSG00000250903,LNCRNA
GNAO1-AS1,False,True,False,1,,639.0,ENSG00000261439,LNCRNA
GNAO1-DT,False,True,False,1,,47.0,ENSG00000246379,LNCRNA
GOLGA2P11,False,True,False,1,,2380.0,ENSG00000260062,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GOLGA2P5,False,True,False,1,,474.0,ENSG00000238105,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GOLGA2P7,True,False,False,1,2839.0,,ENSG00000225151,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GOLGA5P1,False,True,False,1,,1067.0,ENSG00000251215,PROCESSED_PSEUDOGENE
GOLGA6EP,False,True,False,1,,1425.0,ENSG00000187812,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GOT1-DT,False,True,False,1,,453.0,ENSG00000224934,LNCRNA
GPM6A-DT,False,True,False,1,,862.0,ENSG00000249106,LNCRNA
GRM5P1,False,True,False,1,,531.0,"ENSG00000205035,ENSG00000285164",TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GSK3B-DT,False,True,False,1,,510.0,ENSG00000242622,LNCRNA
GSTT1,True,False,False,1,2180.0,,ENSG00000277656,PROTEIN_CODING
GTF2I-AS1,False,True,False,1,,419.0,ENSG00000232729,LNCRNA
GTF2IP20,False,True,False,1,,4434.0,ENSG00000272645,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GTF2IP4,True,False,False,1,2616.0,,ENSG00000233369,TRANSCRIBED_PROCESSED_PSEUDOGENE
GTF2IP7,False,True,False,1,,2973.0,ENSG00000227038,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
GTF3AP2,False,True,False,1,,465.0,ENSG00000258966,TRANSCRIBED_PROCESSED_PSEUDOGENE
